File,Part,Start,Average Silence Duration,Speech Rate,Average Vowel Duration,Type
1HC-ACBC-chevre.wav,1,0.62,0.3250,6.2799,0.0695,manuel
1HC-ACBC-chevre.wav,2,5.90,0.3169,5.9116,0.0852,manuel
1HC-ACBC-chevre.wav,3,11.40,0.0000,5.8264,0.0770,manuel
1HC-ACBC-chevre.wav,4,15.25,0.0000,5.4054,0.0759,manuel
1HC-ACBC-chevre.wav,1,0.57,0.2400,5.8957,0.0473,auto
1HC-ACBC-chevre.wav,2,5.88,0.1800,6.2069,0.0722,auto
1HC-ACBC-chevre.wav,3,11.37,0.0000,6.0317,0.0511,auto
1HC-ACBC-chevre.wav,4,15.24,0.0000,5.6306,0.0632,auto
1PD-AGJI-chevre.wav,1,0.63,0.0000,5.2662,0.0933,manuel
1PD-AGJI-chevre.wav,2,4.92,0.0000,4.4208,0.0815,manuel
1PD-AGJI-chevre.wav,3,8.51,0.0000,4.7045,0.1119,manuel
1PD-AGJI-chevre.wav,4,10.05,0.0000,3.9852,0.0974,manuel
1PD-AGJI-chevre.wav,5,11.94,0.3820,5.0514,0.1026,manuel
1PD-AGJI-chevre.wav,6,15.05,0.0000,4.4021,0.1234,manuel
1PD-AGJI-chevre.wav,7,17.22,0.3742,4.3214,0.1045,manuel
1PD-AGJI-chevre.wav,8,20.85,0.0000,5.4594,0.0968,manuel
1PD-AGJI-chevre.wav,9,23.01,0.0000,3.0472,0.1362,manuel
1PD-AGJI-chevre.wav,10,25.29,0.0000,4.0230,0.1342,manuel
1PD-AGJI-chevre.wav,11,27.67,0.1743,4.1670,0.1136,manuel
1PD-AGJI-chevre.wav,1,0.60,0.1500,5.0794,0.0706,auto
1PD-AGJI-chevre.wav,2,4.86,0.2000,4.3902,0.0778,auto
1PD-AGJI-chevre.wav,3,8.49,0.0000,4.7619,0.0700,auto
1PD-AGJI-chevre.wav,4,10.02,0.0000,3.8760,0.0840,auto
1PD-AGJI-chevre.wav,5,11.91,0.3300,5.4645,0.0720,auto
1PD-AGJI-chevre.wav,6,15.00,0.0000,4.2553,0.0975,auto
1PD-AGJI-chevre.wav,7,17.19,0.3600,4.5977,0.0808,auto
1PD-AGJI-chevre.wav,8,20.85,0.0000,3.2258,0.0600,auto
1PD-AGJI-chevre.wav,9,22.98,0.0000,3.6364,0.1383,auto
1PD-AGJI-chevre.wav,10,25.29,0.0000,4.0230,0.0986,auto
1PD-AGJI-chevre.wav,11,27.63,0.0000,4.2071,0.0992,auto
1PD-ASTW-chevre.wav,1,0.35,0.0000,6.0754,0.0773,manuel
1PD-ASTW-chevre.wav,2,3.84,0.0000,4.8371,0.0676,manuel
1PD-ASTW-chevre.wav,3,6.95,0.3187,4.8403,0.1022,manuel
1PD-ASTW-chevre.wav,4,12.61,0.0000,4.7578,0.1049,manuel
1PD-ASTW-chevre.wav,5,14.41,0.4470,4.5454,0.0830,manuel
1PD-ASTW-chevre.wav,6,20.76,0.0000,3.6364,0.1200,manuel
1PD-ASTW-chevre.wav,7,24.51,0.2342,5.1927,0.0809,manuel
1PD-ASTW-chevre.wav,1,0.33,0.0000,5.7971,0.0575,auto
1PD-ASTW-chevre.wav,2,3.78,0.0000,4.2857,0.0633,auto
1PD-ASTW-chevre.wav,3,6.93,0.3300,5.0096,0.0877,auto
1PD-ASTW-chevre.wav,4,14.40,0.2850,4.4818,0.0594,auto
1PD-ASTW-chevre.wav,5,19.05,0.0000,3.8462,0.0500,auto
1PD-ASTW-chevre.wav,6,20.76,0.4200,4.1026,0.0996,auto
1MSA-ESWQ-chevre.wav,1,0.51,0.0000,4.7101,0.1167,manuel
1MSA-ESWQ-chevre.wav,2,3.96,0.0000,4.1892,0.0859,manuel
